CPU_PIN,IRQ,AF1,AF2,AF3,AF4,AF5,AF6,AF7,AF8,AF9,AF10,AF11,AF12,AF13,AF14,AF15,AF16,AF17,AF18,AF19,AF20,AF21,AF22,AF23,AF24,AF25,AF26,AF27,AF28,AF29,AF30,AF31
P000,IRQ6-DS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001,IRQ7-DS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P002,IRQ8-DS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P003,IRQ29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P004,IRQ9-DS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P005,IRQ10-DS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P006,IRQ11-DS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P007,IRQ28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P008,IRQ12-DS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P009,IRQ13-DS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P010,IRQ14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P011,IRQ16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P014,IRQ27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P015,IRQ13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P100,IRQ2,AGT:AGTIO0,GPT:GTETRGA,GPT:GTIOC8B,,SCI:SCK9_A:A,SPI:MISOB_A:A,,,,,,,,SCI:DE9,,,,,,,,ESWM(GMII/MII):GPTP_MATCH1,,,,,,OSPI:OM_0_SIO0,,,
P101,IRQ1,AGT:AGTEE0,GPT:GTETRGB,GPT:GTIOC8A,,SCI:RXD9_A/SCL9_A/MISO9_A:A,SPI:MOSIB_A:A,,,,,,,,,,,,,,,,ESWM(GMII/MII):GPTP_CAPTURE1,,,,,,OSPI:OM_0_SIO3,,,
P102,IRQ17,AGT:AGTO0,GPT:GTOWLO,GPT:GTIOC2B,,SCI:TXD9_A/SDA9_A/MOSI9_A:A,SPI:RSPCKB_A:A,,,,CAC/ADC16H:ADTRG0,,,,,,CANFD:CRX0,,,,,,,,,,,,OSPI:OM_0_SIO4,,,
P103,IRQ16,,GPT:GTOWUP,GPT:GTIOC2A,,SCI:CTS_RTS9_A/SS9_A:A,SPI:SSLB0_A:A,,,,CAC/ADC16H:AD1FLAG1,,,,SCI:DE9,,CANFD:CTX0,,,,,,ESWM(GMII/MII):GPTP_PPS0,,,,,,OSPI:OM_0_SIO2,,,
P104,IRQ1,,GPT:GTETRGB,GPT:GTIOC1B,,SCI:CTS9_A:A,SPI:SSLB1_A:A,,,,CAC/ADC16H:AD0FLAG1,,,,,,,,,,,,ESWM(GMII/MII):GPTP_MATCH0,,,,,,OSPI:OM_0_CS1,,,
P105,IRQ0,,,GPT:GTIOC1A,SCI:CTS_RTS8_B/SS8_B:B,,SPI:SSLB2_A:A,,,,CAC/ADC16H:ADSYNC,,,SCI:DE8,,,,,,,,,ESWM(GMII/MII):GPTP_CAPTURE0,,,,,,OSPI:OM_0_ECSINT1,,ULPT:ULPTO1-DS,
P106,IRQ16,AGT:AGTOB0,GPT:GTOWLO,GPT:GTIOC8B,SCI:CTS8_B:B,,SPI:SSLB3_A:A,,,,CAC/ADC16H:ADST1,,,,,,,,,,,,ESWM(GMII/MII):ET1_LINKSTA,,,,,,OSPI:OM_0_RESET,,ULPT:ULPTEE1-DS,
P107,IRQ31,AGT:AGTOA0,GPT:GTOWUP,GPT:GTIOC8A,SCI:CTS4_A:A,,,,,,CAC/ADC16H:ADST0,,,,,,,,,,,,ESWM(GMII/MII):ET1_INT,,,,,,OSPI:OM_0_CS0,,,
P109,IRQ23,,,GPT:GTIOC10A,,,,,,,,,,,,,,,,,,SDHI:SD0DAT5_C:C,,,,,,,,,,
P200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P201,IRQ4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P206,IRQ0-DS,,GPT:GTIU,GPT:GTCPPO0,,,,,,RTC/CLKOUT/ACMPHS/ETHPHYCLK:CLKOUT,,BUS:CS7,,,,CEU:VIO_D0,,,SSIE:SSIDATA1_A:A,USBFS:USB_VBUSEN,,SDHI:SD0DAT7_C:C,ESWM(GMII/MII):ET1_RX_DV,ESWM(RMII):RMII1_CRS_DV,ESWM(RGMII):RGMII1_RX_CTL,,,,,,ULPT:ULPTOB1,
P207,IRQ25,,,GPT:GTCPPO3,,,,,,,,,,,,,,,,,,,ESWM(GMII/MII):ET1_RXD5,,,GLCDC:LCD_DATA9_B:B,,,,,,
P304,IRQ9,,GPT:GTOVLO,GPT:GTIOC7A,,,,,,,,,,,,CEU:VIO_D15,,,,,,SDHI:SD0DAT0_B:B,ESWM(GMII/MII):ET1_TXD3,,ESWM(RGMII):RGMII1_TXD3,,,,,,ULPT:ULPTO1,
P305,IRQ8,,GPT:GTOVUP,GPT:GTCPPO12,,,,,,,,,,,,CEU:VIO_D14,,,,,,SDHI:SD0WP,ESWM(GMII/MII):ET1_TXD2,,ESWM(RGMII):RGMII1_TXD2,,,,,,ULPT:ULPTEE1,
P306,IRQ28-DS,,GPT:GTIW,GPT:GTCPPO11,,,,,,,,,,,,CEU:VIO_D13,,,,,,SDHI:SD0CD,ESWM(GMII/MII):ET1_TXD1,ESWM(RMII):RMII1_TXD1,ESWM(RGMII):RGMII1_TXD1,,,,,,ULPT:ULPTEVI1,
P307,IRQ27-DS,,GPT:GTIV,GPT:GTCPPO10,SCI:CTS_RTS6_A/SS6_A:A,,,,,,,,,SCI:DE6,,CEU:VIO_D12,,,,,,SDHI:SD0CMD_B:B,ESWM(GMII/MII):ET1_TXD0,ESWM(RMII):RMII1_TXD0,ESWM(RGMII):RGMII1_TXD0,,,,,,ULPT:ULPTOA1,
P308,IRQ26-DS,,GPT:GTIU,GPT:GTCPPO9,,SCI:CTS3_B:B,,,,RTC/CLKOUT/ACMPHS/ETHPHYCLK:ETHPHYCLK,,,,,,CEU:VIO_D11,,,,,,SDHI:SD0CLK_B:B,ESWM(GMII/MII):ET1_TX_ER,,,,,,,,ULPT:ULPTOB1,
P309,IRQ25-DS,,,GPT:GTCPPO8,,SCI:CTS9_B:B,,,,RTC/CLKOUT/ACMPHS/ETHPHYCLK:VCOUT,,,,,,CEU:VIO_D10,,,,,,,ESWM(GMII/MII):ET1_GTX_CLK,,ESWM(RGMII):RGMII1_TXC,GLCDC:LCD_DATA15_A:A,,,,,,
