cpu_pin,status,in_pins_csv,connection,source_file,source_page,reason
P000,SAFE,YES,Arduino A0 (J1001),core+expansion,core 2/8; expansion 2/10,Direct user-header connection with no populated onboard peripheral found
P001,SAFE,YES,Arduino A1 (J1001),core+expansion,core 2/8; expansion 2/10,Direct user-header connection with no populated onboard peripheral found
P002,SAFE,YES,Arduino A2 (J1001),core+expansion,core 2/8; expansion 2/10,Direct user-header connection with no populated onboard peripheral found
P003,SAFE,YES,Arduino A3 (J1001),core+expansion,core 2/8; expansion 2/10,Direct user-header connection with no populated onboard peripheral found
P007,SAFE,YES,PMODa pin 2,core+expansion,core 2/8; expansion 2/5,Direct user-header connection with no populated onboard peripheral found
P010,SAFE,YES,Arduino D7 (J1000),core+expansion,core 2/8; expansion 2/10,Direct user-header connection with no populated onboard peripheral found
P011,SAFE,YES,Arduino J1002,core+expansion,core 2/8; expansion 2/10,Direct user-header connection with no populated onboard peripheral found
P014,SAFE,YES,Arduino A4 (J1001),core+expansion,core 2/8; expansion 2/10,Direct user-header connection with no populated onboard peripheral found
PC09,SAFE,YES,Arduino J1001,core+expansion,core 2/4/5/8; expansion 2/10,Core USB and flash branches use unpopulated NC resistors
PC15,SAFE,YES,PMODa pin 3,core+expansion,core 2/8; expansion 2/5,Direct user-header connection with no populated onboard peripheral found
P100,SHARED,YES,Arduino J1002 and PMODk via U500,core+expansion,core 2/8; expansion 2/5/10,User I/O passes through TXB0108 level translator
P101,SHARED,YES,Arduino J1002 and PMODk via U500,core+expansion,core 2/8; expansion 2/5/10,User I/O passes through TXB0108 level translator
P102,SHARED,YES,Arduino J1002 and PMODk via U500,core+expansion,core 2/8; expansion 2/5/10,User I/O passes through TXB0108 level translator
P103,SHARED,YES,Arduino J1002 and PMODk via U500,core+expansion,core 2/8; expansion 2/5/10,User I/O passes through TXB0108 level translator
P104,SHARED,YES,Arduino J1002 and PMODm via U501,core+expansion,core 2/8; expansion 2/5/10,User I/O passes through TXB0108 level translator
P105,SHARED,YES,PMODm via U501,core+expansion,core 2/8; expansion 2/5,User I/O passes through TXB0108 level translator
P106,SHARED,YES,Arduino J1002 and PMODm via U501,core+expansion,core 2/8; expansion 2/5/10,User I/O passes through TXB0108 level translator
P107,SHARED,YES,Arduino J1000 and PMODk via U500,core+expansion,core 2/8; expansion 2/5/10,User I/O passes through TXB0108 level translator
P502,SHARED,NO,Arduino J1001 and PMODn via U502,core+expansion,core 2/8; expansion 2/5/10,User I/O passes through TXB0108 level translator
P800,SHARED,YES,PMODm via U501,core+expansion,core 2/8; expansion 2/5,User I/O passes through TXB0108 level translator
P801,SHARED,YES,Arduino J1000 and PMODm via U501,core+expansion,core 2/8; expansion 2/5/10,User I/O passes through TXB0108 level translator
P802,SHARED,YES,Arduino J1000 and PMODm via U501,core+expansion,core 2/8; expansion 2/5/10,User I/O passes through TXB0108 level translator
P803,SHARED,YES,Arduino J1000 and PMODk via U500,core+expansion,core 2/8; expansion 2/5/10,User I/O passes through TXB0108 level translator
P804,SHARED,YES,Arduino J1000 and PMODm via U501,core+expansion,core 2/8; expansion 2/5/10,User I/O passes through TXB0108 level translator
P808,SHARED,NO,Arduino J1000 and PMODk via U500,core+expansion,core 2/8; expansion 2/5/10,User I/O passes through TXB0108 level translator
P809,SHARED,NO,Arduino J1000 and PMODk via U500,core+expansion,core 2/8; expansion 2/5/10,User I/O passes through TXB0108 level translator
P810,SHARED,YES,PMODn via U502,core+expansion,core 2/8; expansion 2/5,User I/O passes through TXB0108 level translator
P812,SHARED,YES,Arduino J1001 and PMODn via U502,core+expansion,core 2/8; expansion 2/5/10,User I/O passes through TXB0108 level translator
PC10,SHARED,YES,PMODn via U502,core+expansion,core 2/8; expansion 2/5,User I/O passes through TXB0108 level translator
P407,RESERVED,NO,USB VBUS sensing and control,core+expansion,core 1/2/4/8; expansion 1/2,Connected to populated USB circuitry
P814,RESERVED,NO,USB FS DP,core+expansion,core 1/2/4/8; expansion 1/2,Dedicated USB differential data signal
P815,RESERVED,NO,USB FS DM,core+expansion,core 1/2/4/8; expansion 1/2,Dedicated USB differential data signal
P208,RESERVED,NO,TDI to onboard RA4M2 debugger,core,core 2/3/8,Connected to the onboard debug interface
P209,RESERVED,NO,TDO to onboard RA4M2 debugger,core,core 2/3/8,Connected to the onboard debug interface
P210,RESERVED,NO,TMS/SWDIO to onboard RA4M2 debugger,core,core 2/3/8,Connected to the onboard debug interface
P211,RESERVED,NO,TCK/SWCLK to onboard RA4M2 debugger,core,core 2/3/8,Connected to the onboard debug interface
P111,RESERVED,NO,SD card DAT3 via U601,core,core 2/6,Connected to the onboard SD card through a TXB0108 level translator
PD01,RESERVED,NO,SD card DAT2 via U601,core,core 2/6,Connected to the onboard SD card through a TXB0108 level translator
PD02,RESERVED,NO,SD card DAT1 via U601,core,core 2/6,Connected to the onboard SD card through a TXB0108 level translator
PD03,RESERVED,NO,SD card DAT0 via U601,core,core 2/6,Connected to the onboard SD card through a TXB0108 level translator
